,Pais,Tipo,Bodegas,Nombre y año,Región,Rating,Valoraciones,Precio,Año
58,Portugal,Blanco,Soalheiro,Allo Alvarinho - Loureiro 2021,Monção e Melgaço ,4.0,833,8.75,2021
59,Portugal,Blanco,Quinta do Crasto,Crasto Branco 2019,Douro ,4.0,730,11.3,2019
60,Portugal,Blanco,Marquês de Marialva,Arinto Reserva 2019,Beiras ,4.0,456,16.99,2019
61,Portugal,Blanco,Bacalhôa,Península de Setúbal Quinta da Bacalhôa Branco 2016,Península de Setúbal ,4.0,390,27.99,2016
62,Portugal,Blanco,Quinta do Crasto,Crasto Branco 2020,Douro ,4.0,389,11.3,2020
63,Portugal,Blanco,Taboadella,Villae Branco 2021,Dão ,4.0,314,24.99,2021
64,Portugal,Blanco,Quinta Nova de Nossa Senhora do Carmo,Grainha Reserva Branco 2019,Douro ,4.0,159,27.99,2019
65,Portugal,Blanco,Tresmano - Tr3smano,Lagar de Proventus Alvarinho 2021,Douro ,4.0,80,16.35,2021
66,Portugal,Blanco,Raul A. Riba d'Ave,Cancela Abreu & Riba D'Ave Encruzado Reserva Branco 2018,Dão ,4.0,75,21.99,2018
67,Portugal,Blanco,Aphros,Phaunus Loureiro 2021,Vinho verde ,4.0,72,21.55,2021
68,Portugal,Blanco,Vale do Armo,Vila Jardim Colheita Seleccionada Branco 2020,Ribatejo ,4.0,53,14.99,2020
69,Portugal,Blanco,Quinta da Foz,Vinha da Foz Branco 2020,Douro ,4.0,50,22.99,2020
70,Portugal,Blanco,Quinta da Sequeira,Sauvignon Blanc 2021,Duriense ,4.0,48,20.99,2021
71,Portugal,Blanco,Tresmano - Tr3smano,Lagar de Proventus Alvarinho 2020,Douro ,4.0,47,15.9,2020
72,Portugal,Blanco,Arribas do Douro,Superior Branco 2018,Douro ,4.0,36,16.99,2018
73,Portugal,Blanco,Parceria,Branco 2019,Douro ,4.0,31,22.99,2019
74,Portugal,Blanco,Arribas do Douro,Branco 2018,Douro ,4.0,31,13.99,2018
75,Portugal,Blanco,Cartuxa,Pêra-Manca Branco 2020,Evora ,4.5,322,63.39,2020
76,Portugal,Blanco,Anselmo Mendes,Parcela Única Escolha 2018,Monção e Melgaço ,4.4,470,33.9,2018
77,Portugal,Blanco,Quinta de Santiago,Sou Alvarinho 2018,Monção e Melgaço ,4.4,66,29.9,2018
78,Portugal,Blanco,Casa de Santar,Branco De Curtimenta 2019,Dão ,4.3,90,24.99,2019
79,Portugal,Blanco,Esporão,Esporão Private Selection Branco 2020,Alentejo ,4.3,76,32.95,2020
80,Portugal,Blanco,Niepoort,Douro Reserva Redoma Branco 2021,Douro ,4.3,53,41.7,2021
81,Portugal,Blanco,Já Te Disse,Branco 2020,Alentejo ,4.3,27,40.99,2020
82,Portugal,Blanco,Esporão,Esporão Reserva Branco 2020,Alentejo ,4.2,2195,14.29,2020
83,Portugal,Blanco,Esporão,Esporão Reserva Branco 2021,Alentejo ,4.2,700,15.3,2021
