"Id","img","Bodegas","Nombre y año","Región","Rating","Valoraciones","Precio"
"https://www.vivino.com/ES/es/quinta-do-crasto-crasto-branco/w/45254?year=2019&price_id=20767889","","Quinta do Crasto","Crasto Branco 2019","Douro, Portugal","4,0","730 valoraciones","11,30"
"https://www.vivino.com/ES/es/marques-de-marialva-reserva-bairrada-branco-white-arinto/w/2540669?year=2019&price_id=31606161","","Marquês de Marialva","Arinto Reserva 2019","Beiras, Portugal","4,0","456 valoraciones","16,99"
"https://www.vivino.com/ES/es/bacalhoa-vinhos-de-portugal-peninsula-de-setubal-quinta-da-bacalhoa-branco/w/2828728?year=2016&price_id=29854205","","Bacalhôa","Península de Setúbal Quinta da Bacalhôa Branco 2016","Península de Setúbal, Portugal","4,0","390 valoraciones","27,99"
"https://www.vivino.com/ES/es/quinta-do-crasto-crasto-branco/w/45254?year=2020&price_id=27609688","","Quinta do Crasto","Crasto Branco 2020","Douro, Portugal","4,0","389 valoraciones","11,30"
"https://www.vivino.com/ES/es/taboadella-villae-branco/w/8519239?year=2021&price_id=30093313","","Taboadella","Villae Branco 2021","Dão, Portugal","4,0","314 valoraciones","24,99"
"https://www.vivino.com/ES/es/quinta-nova-de-nossa-senhora-do-carmo-grainha-reserva-branco/w/1272103?year=2019&price_id=27855331","","Quinta Nova de Nossa Senhora do Carmo","Grainha Reserva Branco 2019","Douro, Portugal","4,0","159 valoraciones","27,99"
"https://www.vivino.com/ES/es/tresmano-tr3smano-lagar-de-proventus-alvarinho/w/7735086?year=2021&price_id=31611054","","Tresmano - Tr3smano","Lagar de Proventus Alvarinho 2021","Douro, Portugal","4,0","80 valoraciones","16,35"
"https://www.vivino.com/ES/es/raul-a-riba-d-ave-cancela-abreu-riba-d-ave-encruzado-reserva-branco/w/9041043?year=2018&price_id=26933671","","Raul A. Riba d'Ave","Cancela Abreu & Riba D'Ave Encruzado Reserva Branco 2018","Dão, Portugal","4,0","75 valoraciones","21,99"
"https://www.vivino.com/ES/es/aphros-phaunus-loureiro/w/5296311?year=2021&price_id=29256139","","Aphros","Phaunus Loureiro 2021","Vinho verde, Portugal","4,0","72 valoraciones","21,55"
"https://www.vivino.com/ES/es/vale-do-armo-vila-jardim-colheita-seleccionada-branco-tejo/w/7991796?year=2020&price_id=27865699","","Vale do Armo","Vila Jardim Colheita Seleccionada Branco 2020","Ribatejo, Portugal","4,0","53 valoraciones","14,99"
"https://www.vivino.com/ES/es/quinta-da-foz-vinha-da-foz-branco/w/1935868?year=2020&price_id=30345326","","Quinta da Foz","Vinha da Foz Branco 2020","Douro, Portugal","4,0","50 valoraciones","22,99"
"https://www.vivino.com/ES/es/quinta-da-sequeira-sauvignon-blanc/w/7919761?year=2021&price_id=31604911","","Quinta da Sequeira","Sauvignon Blanc 2021","Duriense, Portugal","4,0","48 valoraciones","20,99"
"https://www.vivino.com/ES/es/tresmano-tr3smano-lagar-de-proventus-alvarinho/w/7735086?year=2020&price_id=27683897","","Tresmano - Tr3smano","Lagar de Proventus Alvarinho 2020","Douro, Portugal","4,0","47 valoraciones","15,90"
"https://www.vivino.com/ES/es/arribas-do-douro-superior-branco/w/9314461?year=2018&price_id=30345302","","Arribas do Douro","Superior Branco 2018","Douro, Portugal","4,0","36 valoraciones","16,99"
"https://www.vivino.com/ES/es/parceria-branco/w/2630096?year=2019&price_id=26885340","","Parceria","Branco 2019","Douro, Portugal","4,0","31 valoraciones","22,99"
"https://www.vivino.com/ES/es/arribas-do-douro-branco/w/8229937?year=2018&price_id=30345329","","Arribas do Douro","Branco 2018","Douro, Portugal","4,0","31 valoraciones","13,99"
"https://www.vivino.com/ES/es/cartuxa-pera-manca-branco/w/1870315?year=2020&price_id=31624268","https://images.vivino.com/thumbs/NMa7ylfpRD6rjKEFR6w_lw_pb_x300.png","Cartuxa","Pêra-Manca Branco 2020","Evora, Portugal","4,5","322 valoraciones","63,39"
"https://www.vivino.com/ES/es/pt-anselmo-mendes-parcela-unica-escolha/w/1497062?year=2018&price_id=23347602","https://images.vivino.com/thumbs/r1cW5QnwThu8GPWesgUv_g_pb_x300.png","Anselmo Mendes","Parcela Única Escolha 2018","Monção e Melgaço, Portugal","4,4","470 valoraciones","33,90"
"https://www.vivino.com/ES/es/quinta-de-santiago-sou-alvarinho/w/8494458?year=2018&price_id=30580571","https://images.vivino.com/thumbs/w87RH2KsQxuIOJPFJmLYPQ_pb_x300.png","Quinta de Santiago","Sou Alvarinho 2018","Monção e Melgaço, Portugal","4,4","66 valoraciones","29,90"
"https://www.vivino.com/ES/es/casa-de-santar-branco-de-curtimenta/w/10327626?year=2019&price_id=31606165","https://images.vivino.com/thumbs/hV94KjdjTj6PVdPEx2306w_pb_x300.png","Casa de Santar","Branco De Curtimenta 2019","Dão, Portugal","4,3","90 valoraciones","24,99"
"https://www.vivino.com/ES/es/esporao-esporao-private-selection-branco/w/1105367?year=2020&price_id=29588274","https://images.vivino.com/thumbs/xDuaAafIQCm-LOrOvPjUhQ_pb_x300.png","Esporão","Esporão Private Selection Branco 2020","Alentejo, Portugal","4,3","76 valoraciones","32,95"
"https://www.vivino.com/ES/es/niepoort-douro-reserva-redoma-branco/w/8998?year=2021&price_id=30781900","https://images.vivino.com/thumbs/zPbjKkMhTNGAH1Y3I09PGQ_pb_x300.png","Niepoort","Douro Reserva Redoma Branco 2021","Douro, Portugal","4,3","53 valoraciones","41,70"
