"Id","Imagen","Bodegas","Nombre y año","Región","Rating","Valoraciones","Precio"
"https://www.vivino.com/ES/es/livio-felluga-colli-orientali-del-friuli-abbazia-di-rosazzo/w/2351743?year=2019&price_id=30749409","https://images.vivino.com/thumbs/pAg0FW4TSWW5vPzyoakd-w_pb_x300.png","Livio Felluga","Abbazia di Rosazzo 2019","Friuli-Venezia Giulia, Italia","4,4","34 valoraciones","69,71"
"https://www.vivino.com/ES/es/quintodecimo-exultet-fiano-di-avellino/w/1752309?year=2017&price_id=27695793","https://images.vivino.com/thumbs/nuUFRUOcR-G1chpoDyQ22w_pb_x300.png","Quintodecimo","Exultet Fiano di Avellino 2017","Fiano de Avellino, Italia","4,3","427 valoraciones","47,86"
"https://www.vivino.com/ES/es/ornellaia-poggio-alle-gazze/w/1137682?year=2020&price_id=29920709","https://images.vivino.com/thumbs/WJxPsEm7SYS0PK5valZTrw_pb_x300.png","Ornellaia","Poggio alle Gazze 2020","Toscana, Italia","4,3","325 valoraciones","69,90"
"https://www.vivino.com/ES/es/gaja-ca-marcanda-vistamare-toscana/w/1160459?year=2021&price_id=30088124","https://images.vivino.com/thumbs/b28ZfbCLRECiuip6OVb4GA_pb_x300.png","Gaja","Ca'Marcanda Vistamare Toscana 2021","Toscana, Italia","4,3","311 valoraciones","49,50"
"https://www.vivino.com/ES/es/quintodecimo-giallo-d-arles-greco-di-tufo/w/1211299?year=2019&price_id=27695800","https://images.vivino.com/thumbs/OKkK5e2tQBK1fDmhznQ2fA_pb_x300.png","Quintodecimo","Giallo d'Arles Greco di Tufo 2019","Greco di Tufo, Italia","4,3","273 valoraciones","50,37"
"https://www.vivino.com/ES/es/girlan-flora-gewurztraminer/w/1766843?year=2018&price_id=32058483","https://images.vivino.com/thumbs/7iDiUK3PRy-uec_WiN_MPw_pb_x300.png","Girlan","Flora Gewürztraminer 2018","Südtirol - Alto Adige, Italia","4,3","112 valoraciones","27,85"
"https://www.vivino.com/ES/es/livio-felluga-colli-orientali-del-friuli-illivio/w/15093?year=2020&price_id=30730713","https://images.vivino.com/thumbs/IZ8C2enISBe5Ecc55JtOZw_pb_x300.png","Livio Felluga","Illivio 2020","Colli Orientali del Friuli, Italia","4,3","50 valoraciones","42,85"
"https://www.vivino.com/ES/es/skerk-ograde/w/1842264?year=2020&price_id=32059235","https://images.vivino.com/thumbs/fDOG3ho3QuC7CcupyDDOkw_pb_x300.png","Skerk","Ograde 2020","Friuli-Venezia Giulia, Italia","4,3","39 valoraciones","35"
"https://www.vivino.com/ES/es/it-torre-fornello-una/w/6106074?year=2013&price_id=27727109","https://www.vivino.com/packs/3e2a8495d94d4aa2b752bbaacf3021bc.png","Torre Fornello","Una 2013","Colli Piacentini, Italia","4,3","33 valoraciones","49,37"
"https://www.vivino.com/ES/es/livio-felluga-colli-orientali-del-friuli-terre-alte/w/15091?year=2020&price_id=31566180","https://images.vivino.com/thumbs/8Z4BvJ8ET8S0fpChuCGe2g_pb_x300.png","Livio Felluga","Terre Alte 2020","Rosazzo, Italia","4,3","30 valoraciones","74,75"
"https://www.vivino.com/ES/es/planeta-cometa/w/4985?year=2018&price_id=27228459","https://images.vivino.com/thumbs/dpPBggKGRuWGeAE9m9TwnQ_pb_x300.png","Planeta","Cometa 2018","Menfi, Italia","4,2","1274 valoraciones","31,90"
