"anchor_anchor__m8Qi- href","discountSplash__value--CiNm-","wineInfoVintage__truncate--3QAtw","wineInfoVintage__vintage--VvWlU","wineInfoLocation__regionAndCountry--1nEJz","vivinoRating_averageValue__uDdPM","vivinoRating_caption__xL84P","addToCartButton__price--qJdh4","price_strike__mOVjZ"
"https://www.vivino.com/ES/es/martin-berdugo-crianza/w/1150140?year=2019&price_id=28799897","24%","Martin Berdugo","Crianza 2019","Ribera del Duero, España","4,0","227 valoraciones","9,90","€13"
"https://www.vivino.com/ES/es/epifanio-rivera-erial-tinto-fino/w/1182155?year=2020&price_id=28485946","22%","Epifanio Rivera","Erial Tinto Fino 2020","Ribera del Duero, España","4,1","193 valoraciones","12,50","€16"
"https://www.vivino.com/ES/es/finca-valpiedra-rioja-reserva/w/74426?year=2014&price_id=26282399","21%","Finca Valpiedra","Rioja Reserva 2014","Rioja, España","4,1","585 valoraciones","16,50","€21"
"https://www.vivino.com/ES/es/borsao-bodegas-zarihs-syrah/w/4399827?year=2018&price_id=28523311","21%","Borsao Bodegas","Zarihs Syrah 2018","Campo de Borja, España","4,1","606 valoraciones","11,90","€15"
"https://www.vivino.com/ES/es/la-vicalanda-reserva/w/1126221?year=2016&price_id=30919940","20%","La Vicalanda","Reserva 2016","Rioja, España","4,1","317 valoraciones","17,50","€22"
"https://www.vivino.com/ES/es/castell-de-sant-pau-cava-brut-nature/w/5174921?price_id=26561598","20%","Castell de Sant Pau","Cava Brut Nature N.V.","Cava, España","4,0","884 valoraciones","7,99","€10"
"https://www.vivino.com/ES/es/llurce-angel-garnacha-rioja-rioja/w/5608861?year=2019&price_id=27264143","20%","Ilurce","Angel Garnacha Rioja 2019","Rioja, España","4,0","244 valoraciones","7,99","€10"
"https://www.vivino.com/ES/es/sinforiano-quelias-rose/w/5610625?year=2021&price_id=28854466","20%","Sinforiano","Quelías Rosé 2021","Cigales, España","4,0","108 valoraciones","7,99","€10"
"https://www.vivino.com/ES/es/familia-torres-camino-de-magarin-sobre-lias-rueda/w/5528797?year=2018&price_id=25559960","20%","Familia Torres","Camino de Magarin Sobre Lias 2018","Rueda, España","3,9","174 valoraciones","12,40","€15,50"
"https://www.vivino.com/ES/es/hacienda-zorita-natural-reserve-unamuno-vineyard-syrah-arribes/w/1744907?year=2018&price_id=24895471","19%","Hacienda Zorita Natural Reserve","Unamuno Vineyard Syrah 2018","Arribes, España","4,1","668 valoraciones","12,90","€16"
"https://www.vivino.com/ES/es/hacienda-zorita-natural-reserve-unamuno-vineyard-syrah-arribes/w/1744907?year=2019&price_id=31299146","19%","Hacienda Zorita Natural Reserve","Unamuno Vineyard Syrah 2019","Arribes, España","4,1","87 valoraciones","12,90","€16"
"https://www.vivino.com/ES/es/de-moya-maria/w/2905850?year=2018&price_id=26290954","18%","De Moya","María 2018","Valencia, España","4,0","237 valoraciones","8,99","€11"
"https://www.vivino.com/ES/es/hernando-y-sourdais-tinto/w/1209027?year=2020&price_id=27694825","17%","Antídoto","Tinto 2020","Ribera del Duero, España","4,0","1027 valoraciones","14,90","€18"
"https://www.vivino.com/ES/es/castillo-perelada-five-finques-fincas-reserva/w/99328?year=2017&price_id=26279777","16%","Castillo Perelada","5 Finques (Fincas) Reserva 2017","Empordà, España","4,2","2275 valoraciones","10,90","€13"
